name	id	parent	geo	iso23	iso3
Macro-French	macr1273	cent2283			
Global French	glob1239	macr1273			
French	stan1290	glob1239	48,2	fr	fra
Frisian	fris1239	angl1264			
Western Frisian	west2354	fris1239	53.143,5.86091	fy	fry
Goidelic	goid1240	insu1254			
Western Goidelic	west2822	goid1240			
Irish	iris1253	west2822	53.2186,-7.61509	ga	gle
Ga-Dangme	gada1257	kwav1236			
Ga	gaaa1244	gada1257	5.65488,-0.18598	gaa	gaa
Eastern Goidelic	east2734	goid1240			
Scottish Gaelic	scot1245	east2734	56.7574,-5.24366	gd	gla
Micronesian	micr1243	ocea1241			
Nuclear Micronesian	micr1244	micr1243			
Central Micronesian	cent2276	micr1244			
Gilbertese	gilb1244	cent2276	-1.34,176.44	gil	gil
Galician Romance	gali1263	west2838			
Galician	gali1258	gali1263	42.2446,-7.5343	gl	glg
Tupian	tupi1275				
Maweti-Guarani	mawe1252	tupi1275			
Aweti-Guarani	awet1245	mawe1252			
Tupi-Guarani	tupi1276	awet1245			
Tupi-Guarani Subgroup I	tupi1277	tupi1276			
Tupi-Guarani Subgroup I.A	tupi1282	tupi1277		gn	grn
High German	high1286	west2793			
Middle-Modern High German	midd1349	high1286			
Modern High German	mode1258	midd1349			
Alpine Germanic	uppe1397	mode1258			
Alemannic	alem1243	uppe1397			
Swiss German	swis1247	alem1243	47.0516,8.46419	gsw	gsw
Indo-Aryan Central zone	indo1322	indo1321			
Subcontinental Central Indo-Aryan	subc1234	indo1322			
Gujarati-Rajasthani	guja1255	subc1234			
Gujaratic	guja1256	guja1255			
Gujarati	guja1252	guja1256	22.687,71.0962	gu	guj
Manx	manx1243	east2734	54.2604,-4.45437	gv	glv
Polynesian	poly1242	east2445			
Nuclear Polynesian	nucl1485	poly1242			
Northern Outlier Polynesian-East Polynesian	nort3246	nucl1485			
Solomons Northern Outlier Polynesian-East Polynesian	solo1260	nort3246			
Central Northern Outlier Polynesian-East Polynesian	cent2298	solo1260			
East Polynesian	east2449	cent2298			
Central Eastern Polynesian	cent2062	east2449			
Hawaiian	hawa1245	cent2062	19.6297,-155.43	haw	haw
Northwest Semitic	nort3165	cent2236			
Canaanite	cana1267	nort3165			
Hebrewic	hebr1246	cana1267			
