name	iso3	gl	family	likely	script	population	literacy	cldr	id	plural	ordinal	num	chars	quot
Mongolian	mon	mong1331	mong1329	mn-Mong-CN	Mong	3571204	95.1	false	mn-Mong	0	0			
Marathi	mar	mara1378	indo1319	mr-Deva-IN	Deva	88681601	62.8	true	mr	2	14	deva	2	0
Malay	msa	indo1326	aust1307	ms-Latn-MY	Latn	24427999	93.2	true	ms	6	7	latn	37	0
Malay	msa	indo1326	aust1307		Arab	21831	95.4	false	ms-Arab	6	7			
Maltese	mlt	malt1254	afro1255	mt-Latn-MT	Latn	415196	92.4	true	mt	22		latn	38	0
Burmese	mya	nucl1310	sino1245	my-Mymr-MM	Mymr	36409856	92.7	true	my	6	0	mymr	0	0
Erzya	myv	erzy1239	ural1272	myv-Cyrl-RU	Cyrl	441301	99.7	false	myv					
Nauru	nau	naur1243	aust1307	na-Latn-NR	Latn	6906	99	false	na					
Norwegian Bokmål	nob	norw1259	indo1319	nb-Latn-NO	Latn	5266658	100	true	nb	0	0	latn	39	15
North Ndebele	nde	nort2795	atla1278	nd-Latn-ZW	Latn	1745640	83.6	true	nd	0		latn	40	0
Nepali	nep	east1436	indo1319	ne-Deva-NP	Deva	19869444	59.3	true	ne	0	15	deva	3	0
Niuean	niu	niue1239	aust1307	niu-Latn-NU	Latn	1131	95	false	niu					
Dutch	nld	dutc1256	indo1319	nl-Latn-NL	Latn	23944585	98.9	true	nl	4	0	latn	41	16
Norwegian Nynorsk	nno	norw1262	indo1319	nn-Latn-NO	Latn	1316290	100	true	nn	0		latn	39	15
South Ndebele	nbl	sout2808	atla1278	nr-Latn-ZA	Latn	868812	50	false	nr	0				
Northern Sotho	nso	pedi1238	atla1278	nso-Latn-ZA	Latn	5104266	50	false	nso	1				
Nyanja	nya	nyan1308	atla1278	ny-Latn-MW	Latn	11699289	74.8	false	ny	0				
Odia	ori	macr1269	indo1319	or-Orya-IN	Orya	40540160	62.8	true	or	0		latn	0	0
Ossetic	oss	osse1243	indo1319	os-Cyrl-GE	Cyrl	108418	99.7	true	os	0		latn	9	4
Punjabi	pan	panj1256	indo1319	pa-Guru-IN	Guru	35472640	62.8	true	pa	1	0	latn	0	0
Pangasinan	pag	pang1290	aust1307	pag-Latn-PH	Latn	1436736	95.4	false	pag					
Papiamento	pap	papi1253	indo1319	pap-Latn-AW	Latn	190044	98.2	false	pap	0				
Palauan	pau	pala1344	aust1307	pau-Latn-PW	Latn	15797	92	false	pau					
Polish	pol	poli1260	indo1319	pl-Latn-PL	Latn	36982368	99.7	true	pl	23	0	latn	42	17
Pashto	pus	nucl1276	indo1319	ps-Arab-AF	Arab	14332760	28.1	true	ps	0		arabext	4	0
Portuguese	por	port1283	indo1319	pt-Latn-BR	Latn	221338465	88.1	true	pt	24	0	latn	43	0
Quechua	que	quec1387	quec1387	qu-Latn-PE	Latn	10855173	90.6	true	qu			latn	44	0
Kʼicheʼ	quc	kich1262	maya1287	quc-Latn-GT	Latn	1063300	75.9	false	quc					
Romansh	roh	roma1326	indo1319	rm-Latn-CH	Latn	40897	99	true	rm	0		latn	45	1
Rundi	run	rund1242	atla1278	rn-Latn-BI	Latn	6992559	67.2	true	rn			latn	12	10
Romanian	ron	roma1327	indo1319	ro-Latn-RO	Latn	21801362	97.8	true	ro	25	7	latn	46	17
Russian	rus	russ1263	indo1319	ru-Cyrl-RU	Cyrl	170580014	99.7	true	ru	26	0	latn	10	4
Kinyarwanda	kin	kiny1244	atla1278	rw-Latn-RW	Latn	10001068	71.1	true	rw			latn	12	15
Sanskrit	san	sans1269	indo1319	sa-Deva-IN	Deva	15203	62.8	false	sa					
Sakha	sah	yaku1245	turk1311	sah-Cyrl-RU	Cyrl	455536	99.7	true	sah	6		latn	11	4
Santali	sat	sant1410	aust1305	sat-Latn-IN	Latn	6967841	62.8	false	sat					
Saafi-Saafi	sav	saaf1238	atla1278	sav-Latn-SN	Latn	214802	49.7	false	sav					
Sindhi	snd	sind1272	indo1319	sd-Arab-PK	Arab	3293888	62.8	false	sd					
Sindhi	snd	sind1272	indo1319	sd-Deva-IN	Deva	329389	62.8	false	sd-Deva					
Northern Sami	sme	nort2671	ural1272	se-Latn-NO	Latn	173751	100	true	se	18		latn	47	10
Sango	sag	sang1328	atla1278	sg-Latn-CF	Latn	2698558	56.6	true	sg	6		latn	48	3
Sinhala	sin	sinh1246	indo1319	si-Sinh-LK	Sinh	15119801	91.2	true	si	27	0	latn	0	0
Slovak	slk	slov1269	indo1319	sk-Latn-SK	Latn	4961944	99.6	true	sk	8	0	latn	49	7
Slovenian	slv	slov1268	indo1319	sl-Latn-SI	Latn	1753120	99.7	true	sl	28	0	latn	50	7
Samoan	smo	samo1305	aust1307	sm-Latn-WS	Latn	252579	98.4	false	sm					
Shona	sna	shon1251	atla1278	sn-Latn-ZW	Latn	11783070	83.6	true	sn	0		latn	51	10
Noon	snf	noon1242	atla1278			34369	10	false	snf					
Somali	som	soma1255	afro1255	so-Latn-SO	Latn	8437572	37.8	true	so	0		latn	12	0
Albanian	sqi	alba1267	indo1319	sq-Latn-AL	Latn	5295976	95.3	true	sq	0	16	latn	52	3
Serbian	srp	serb1264	indo1319	sr-Cyrl-RS	Cyrl	7552823	97.9	true	sr	7	0	latn	3	18
Serbian	srp	serb1264	indo1319		Latn	8197401	98	true	sr-Latn	7	0	latn	4	18
Serer	srr	sere1260	atla1278	srr-Latn-SN	Latn	1575211	49.7	false	srr					
Swati	ssw	swat1243	atla1278	ss-Latn-ZA	Latn	2307949	63.8	false	ss	0				
Southern Sotho	sot	sout2807	atla1278	st-Latn-ZA	Latn	6203764	62.2	false	st	0				
Swedish	swe	swed1254	indo1319	sv-Latn-SE	Latn	11831721	99.2	true	sv	4	17	latn	53	10
Swahili	swa	swah1254	atla1278	sw-Latn-TZ	Latn	147521308	72.7	true	sw	4	0	latn	54	0
Tamil	tam	tami1289	drav1251	ta-Taml-IN	Taml	78202587	64.1	true	ta	0	0	latn	0	0
Telugu	tel	telu1262	drav1251	te-Telu-IN	Telu	91215361	62.8	true	te	0	0	latn	0	0
Tetum	tet	tetu1245	aust1307	tet-Latn-TL	Latn	744032	58.3	false	tet					
Tajik	tgk	taji1245	indo1319	tg-Cyrl-TJ	Cyrl	8330950	99.7	false	tg					
Thai	tha	thai1261	taik1256	th-Thai-TH	Thai	54560640	93	true	th	6	0	latn	0	0
Tigrinya	tir	tigr1271	afro1255	ti-Ethi-ET	Ethi	3521922	68.9	true	ti	1		latn	1	0
Turkmen	tuk	turk1304	turk1311	tk-Latn-TM	Latn	4270568	90.1	true	tk	0		latn	55	8
Tokelau	tkl	toke1240	aust1307	tkl-Latn-TK	Latn	1337	94	false	tkl					
Tswana	tsn	tswa1253	atla1278	tn-Latn-ZA	Latn	5822368	58.3	false	tn	0				
Bedik	tnr	bedi1235	atla1278			3437	10	false	tnr					
Tongan	ton	tong1325	aust1307	to-Latn-TO	Latn	101188	99	true	to	6		latn	56	0
Tok Pisin	tpi	tokp1240	indo1319	tpi-Latn-PG	Latn	4821838	45	false	tpi					
Turkish	tur	nucl1301	turk1311	tr-Latn-TR	Latn	74932662	94.1	true	tr	0	0	latn	57	0
Tsonga	tso	tson1249	atla1278	ts-Latn-ZA	Latn	2389231	50	false	ts	0				
Tausug	tsg	taus1251	aust1307	tsg-Latn-PH	Latn	1128864	95.4	false	tsg					
